Title,Grant Amount,Grant Term Start,Grant Term End,Description,Initiative,Grant Status,Grantee Address
Institute for Transformative Technologies 2020,50000.0,2020-04-01,2021-03-31,toward the costs of demonstrating a shallow groundwater drilling technology in Ethiopia to enable farmers to grow nutritious foods,Food Initiative,Unknown,"812 Creed Road, Oakland, CA 94610, United States of America"
ACCESS Health International 2020,200000.0,2020-04-01,2020-12-01,for use by its China office in support of research on lessons learned and technological solutions used in response to COVID-19 in China,Asia Regional Office,Unknown,"1016 Fifth Avenue, Suite 11A/C, New York, NY 10028, United States of America"
Meridian Institute 2020,150000.0,2020-03-01,2020-12-31,"in support of efforts to provide research, convening facilitation and strategic support in preparation for the 2021 UN Food Systems Summit",Food Initiative,Unknown,"PO Box 1829, 105 Village Place, Dillon, CO 80435, United States of America"
Brookings Institution 2020,2500000.0,2020-03-01,2024-01-01,in support of the annual ’17 Rooms’ process inclding events and research focused on advancing the Sustainable Development Goals.,Convenings & Networks,Unknown,"1775 Massachusetts Avenue, NW, Washington, DC 20036-2188, United States of America"
2020,125000.0,2020-03-01,2020-07-31,"toward the costs of the 2020 Women in the World Summit to support showcasing women of impact, and men who champion them, through presentations, journalistic narratives and provocative discussions",CPA Central Office,Unknown,
Rockefeller Foundation Donations 2020,2000000.0,2020-03-01,2021-02-28,in support of facilitating The Rockefeller Foundation donations to charitable organizations,Strategic Opportunities Fund,Unknown,"New York, New York, United States of America"
CAMBIA 2020,200000.0,2020-03-01,2020-08-31,in general support of its mission to scale open and collaborative mapping of innovation pathways and opportunities in science- and technology-enabled problem solving,Food Initiative,Unknown,"GPO Box 3200, Brisbane, Queensland, Canberra 2601, Australia"
Institute on Taxation and Economic Policy 2020,500000.0,2020-03-01,2022-02-28,in support of research and data analysis on the impact of the Earned Income Tax Credit and Child Tax Credit in an effort to increase the financial stability and economic advancement of low- to moderate-income workers and families in the U.S.,U.S. Economic Opportunity,Unknown,"1200 18th Street, NW, Suite 675, Washington, DC 20036, United States of America"
Harvard University 2020,281282.0,2020-03-01,2021-03-31,for use by its Center for Health Law and Policy Innovation of Harvard Law School in support of developing a National Produce Prescription Advocacy Strategy to address food insecurity by promoting the consumption of nutrient-rich foods in underserved communities,Food Initiative,Unknown,"1350 Massachusetts Avenue, Massachusetts Hall, Cambridge, MA 02138, United States of America"
2020,850000.0,2020-03-01,2021-08-31,in support of improving access and use of the Earned Income Tax Credit through employer partnerships to increase the financial stability and economic advancement of low- to moderate-income workers and families in the U.S.,U.S. Economic Opportunity,Unknown,
2020,289384.0,2020-02-01,2022-12-31,for use by its Institute for Health Metrics and Evaluation in support of developing the Local Burden of Disease Health Data Application Programming Interface.,Data Science,Unknown,
Berggruen Institute 2020,50000.0,2020-02-01,2020-12-31,"toward the costs of research on the metaphors people use to understand ‘artificial intelligence' in five key regions around the world: China, India, Africa, Latin America, Europe, and North America",Data Science,Unknown,"304 S. Broadway, Ste 500, Los Angeles, CA 90013, United States of America"
Global Impact Investing Network 2020,40000.0,2020-01-01,2021-12-31,in general support of its mission to increase the scale and effectiveness of impact investing,Innovative Finance,Unknown,"One Battery Park Plaza, Suite 202, New York, NY 10004, United States of America"
"Mission Investors Exchange, Inc. 2020",100000.0,2020-01-01,2021-12-31,in general support of its mission to deploy capital for social and environmental change,Innovative Finance,Unknown,"417 Fifth Avenue, 8th Floor, New York, NY 10016, United States of America"
Tideline Verification Services 2020,500000.0,2020-01-01,2030-03-31,in support of developing public education initiatives to verify and make transparent the societal impacts attained from impact investing,Innovative Finance,Unknown,"915-2 Battery St., Suite 3, San Francisco, CA 94111, United States of America"
Columbia University 2020,25000.0,2020-01-01,2020-06-30,for use by its Mailman School of Public Health toward the costs of a meeting bringing together experts in data and public health to advance the goals of precision public health,Health Initiative,Unknown,"615 West 131st Street, 6th Floor, Mail Code 8725, New York, NY 10027, United States of America"
2020,1138238.0,2020-01-01,2029-01-01,for use by its Perelman School of Medicine in support of research and public presentations on Resilience and Individual and Social Impact,Strategic Opportunities Fund,Unknown,
LOCUS Impact Investing 2020,500000.0,2020-01-01,2020-12-31,"toward the costs of the Community Investment Guarantee Pool, a mechanism to provide targeted guarantees to lenders, investors or intermediaries working to advance community development financing in affordable housing, small business and climate/energy solutions ",Innovative Finance,Unknown,"7814 Carousel Lane, Suite 100, Richmond, VA 23294, United States of America"
"Georgia Budget and Policy Institute, Inc. 2020",500000.0,2020-01-01,2021-12-31,in general support of its mission to advance lasting solutions that expand economic opportunity and well-being for all Georgians,U.S. Economic Opportunity,Unknown,"50 Hurt Plaza SE, Suite 720, Atlanta, GA 30303, United States of America"
Energy Company of the Future Limited 2020,500000.0,2020-01-01,2020-12-31,in support of preparing to launch a pilot effort to provide universal energy access in Nigeria through a combination of on- and off-grid solutions,Power and Climate,Unknown,"66-67 Newman Street, Fitzrovia, London,  W1T 3EQ, England"
London School of Economics and Political Science 2020,250000.0,2020-01-01,2023-03-31,"for use by its International Growth Centre toward the cost of the Reducing State Fragilities initiative, a platform for global and national-level engagements on state fragility",Policy,Unknown,"Houghton Street, London,  WC2A 2AE, England"
Niskanen Center 2020,500000.0,2020-01-01,2022-04-30,for use but its Poverty and Welfare Department toward the costs of economic opportunity work on the Earned Income Tax Credit (EITC) and Child Tax Credit (CTC) in order to benefit lower income households in the U. S.,Policy,Unknown,"820 First Street, NE #675, Washington, DC 20002, United States of America"
Voter Registration Project 2020,275000.0,2020-01-01,2020-12-31,"in general support of its mission to create a more representative democracy by supporting large-scale, long-term nonpartisan voter registration in communities of color.",Strategic Opportunities Fund,Unknown,"1300 Eye Street, NW, Suite 450 East, Washington, DC 20005, United States of America"
2020,150000.0,2020-01-01,2022-09-30,for use by its Carsey School of Public Policy’s Center for Impact Finance toward the costs of designing a platform that enables investors to provide equity financing to Community Development Financial Institutions in an effort to help them serve poor and vulnerable communities in the U.S.,Innovative Finance,Unknown,
The Workers Lab 2020,153482.0,2020-01-01,2020-12-31,"in general support of its mission to give new ideas about increasing worker power a genuine chance to succeed<br />
and flourish<br />
",U.S. Economic Opportunity,Unknown,"1111 Broadway, Floor 3, Oakland, CA 94607, United States of America"
Asset Funders Network 2020,275000.0,2020-01-01,2021-12-31,in general support of its mission to engage philanthropy to advance economic opportunity and prosperity for low- and moderate-income people,U.S. Economic Opportunity,Unknown,"2045 W Grand Ave, Ste B #50387, Chicago, IL 60612-1577, United States of America"
"University of Massachusetts, Amherst 2019",2000000.0,2019-12-01,2025-08-31,"in support of its e-GUIDE Nigeria initiative, an effort to estimate latent demand for electricity in Nigeria to help identify future opportunities for investments and accelerate the replacement of generators with cheaper, cleaner sources of electricity",Power and Climate,Unknown,"Office of Grant and Contract Administration, 100 Venture Way, Suite 201, Hadley, MA 01035-6450, United States of America"
Metropolitan Planning Council 2019,500000.0,2019-12-01,2021-12-31,for use by Economic Security for Illinois toward the costs of an effort to advance an expanded and modernized state Earned Income Tax Credit to increase financial security for low- and middle-income people in Illinois,U.S. Economic Opportunity,Unknown,"140 S. Dearborn Street, Suite 1400, Chicago, IL 60603, United States of America"
Hopewell Fund 2019,1000000.0,2019-12-01,2021-07-31,for use by its Economic Security Project toward the costs of modernizing and expanding the Earned Income Tax Credit at the state and federal level,U.S. Economic Opportunity,Unknown,"1828 L Street NW, Suite 300-A, Washington, DC 20036, United States of America"
Bipartisan Policy Center 2019,1500000.0,2019-12-01,2020-11-30,in support of efforts to advance a new economic agenda that benefits low-income workers in the U.S.,U.S. Economic Opportunity,Unknown,"1225 I Street, NW, Suite 1000, Washington, DC 20005, United States of America"
Missouri Budget Project 2019,150000.0,2019-12-01,2021-12-31,"toward the costs of its Campaign for Tax Fairness initiative, a statewide coalition to advance awareness of the importance of an Earned Income Tax Credit for low-income workers in Missouri",U.S. Economic Opportunity,Unknown,"1 Campbell Plaza, Suite 101 - Building A, St. Louis, MO 63139, United States of America"
World Bank 2019,2500000.0,2019-12-01,2022-11-30,"for use by its Global Financing Facility for Women, Children and Adolescents toward the costs of identifying and supporting the  national scale up of evidence-based data science and digital health innovations to accelerate reproductive, maternal, newborn, child and adolescent health outcomes",Health Initiative,Unknown,"1818 H Street, NW, Washington, DC 20433, United States of America"
Pulitzer Center on Crisis Reporting 2019,375000.0,2019-12-01,2020-12-31,"in support of a fellowship program to promote international long-form reporting and educational outreach focused on health, food, power and jobs",Communications,Unknown,"1779 Massachusetts Avenue, NW, Suite 615, Washington, DC 20036, United States of America"
2019,200000.0,2019-12-01,2021-06-30,toward the costs of an initiative to help Community Development Financial Institutions and investors identify and evaluate projects that have high resilience potential in an effort to improve the economic and climate resilience of vulnerable communities in the U.S.,Power and Climate,Unknown,
The Energy for Growth Hub 2019,3500000.0,2019-12-01,2022-12-31,toward the costs of creating a new energy consumption metric that better captures energy’s role in economic transformation and helps to translate research into policy to support more effective and increased energy provision for economic growth,Power and Climate,Unknown,"1015 15th Street NW, Floor 6, Washington, DC 20005, United States of America"
2019,1901300.0,2019-12-01,2022-02-28,"for use by Factor(E) Ventures, PBC in support of an effort to massively scale the ability of the energy sector to identify, promote and deploy leapfrog technologies to increase access to high quality, reliable energy in developing countries",Power and Climate,Unknown,
"Arizona Community Foundation, Inc. 2019",1750000.0,2019-12-01,2021-12-31,"for use by Economic Opportunity Funders toward the costs of the Earned Income Tax Credit Pooled Fund, an effort to gain tax fairness and economic opportunity for low-income workers and families through the promotion and protection of the federal and state Earned Income Tax credits",U.S. Economic Opportunity,Unknown,"2201 E. Camelback Road, Suite 405B, Phoenix, AZ 85016, United States of America"
Unidos US 2019,250000.0,2019-12-01,2021-05-31,"toward the costs of building support for improvements to tax credits for low-income families by engaging in policy, program and advocacy work on behalf of the Latino community",U.S. Economic Opportunity,Unknown,"Raul Yzaguirre Building, 1126 16th Street, NW, Suite 600, Washington, DC 20036, United States of America"
Center on Budget and Policy Priorities 2019,1500000.0,2019-12-01,2021-11-30,"toward the costs of efforts to strengthen the Earned Income Tax Credit (EITC)and Child Tax Credit (CTC) with robust policy analysis, improved messaging, and broadening national and state-level voices on tax credits COVID REVISED PURPOSE:  toward the costs of efforts to strengthen the Earned Income Tax Credit (EITC)and Child Tax Credit (CTC) with robust policy analysis, improved messaging, and broadening national and state-level voices on tax credits, and to provide analysis, and design and implementation recommendations on short-term relief measures in response to the COVID-19 pandemic, as well as longer term advances in unemployment benefits, food and housing assistance, and other forms of income support",U.S. Economic Opportunity,Unknown,"1275 First Street NE, Suite 1200, Washington, DC 20002, United States of America"
"New Jersey Policy Perspective, Inc. 2019",100000.0,2019-12-01,2020-12-31,"toward the costs of Raise the Floor, a project to improve the Earned Income Tax Credit to provide greater economic security for low-income workers in New Jersey",U.S. Economic Opportunity,Unknown,"137 West Hanover Street, Trenton, NJ 08618, United States of America"
2019,5054000.0,2019-12-01,2024-03-31,toward the costs of its efforts to develop a digitally competent and adaptive frontline workforce to benefit the health of children globally,Health Initiative,Unknown,
World Health Organization 2019,4931546.0,2019-12-01,2023-06-30,"in support of developing a digital governance framework and accelerating the digitalization of its guidelines in order to make its norms and standards readily available to the global health community, in order to help countries achieve their SDG3 targets especially with regard to maternal and child health",Health Initiative,Unknown,"20 Avenue Appia, CH-1211, Geneva,  27, Switzerland"
Community Partners 2019,757214.0,2019-12-01,2021-11-30,"for use by its Center for Good Food Purchasing in support of its efforts to develop impact analysis tools for tracking and analyzing institutional food purchasing data, in order that it can be used to encourage the delivery of healthier food to low-income populations",Food Initiative,Unknown,"1000 N. Alameda Street, Suite 240, Los Angeles, CA 90012, United States of America"
Global Alliance for Improved Nutrition 2019,1000000.0,2019-12-01,2023-05-31,in support of developing the first nutritious financing facility to support small-and medium-sized enterprises increase access to nutritious foods in Sub-Sahara Africa,Food Initiative,Unknown,"Rue de Varembé 7, Geneva,  CH-1202, Switzerland"
World Wildlife Fund 2019,400000.0,2019-12-01,2021-05-31,"in support of launching a food waste prevention collaborative in the Pacific Northwest, and other ongoing efforts to prevent food waste in the U.S.",Food Initiative,Unknown,"1250 24th Street, NW, Washington, DC 20037, United States of America"
Meridian Institute 2019,1000000.0,2019-12-01,2024-06-30,toward the cost of building datasets for machine learning to address bias and inequity in existing models,Data Science,Unknown,"PO Box 1829, 105 Village Place, Dillon, CO 80435, United States of America"
Northeastern University 2019,745567.0,2019-12-01,2020-12-31,in support of developing the toolsets needed to acquire the most accurate information on food composition and the ways in which nutritional components affect health,Food Initiative,Unknown,"405 Lake Hall, Boston, MA 02115, United States of America"
International Rescue Committee 2019,500000.0,2019-12-01,2022-03-31,"in support of research on the cost-effectiveness of simplified treatment protocols for acute malnutrition, in order to leverage the support of community health systems to identify and treat children in vulnerable communities",Food Initiative,Unknown,"122 East 42nd Street, New York, NY 10168-1289, United States of America"
Power for All 2019,500000.0,2019-11-01,2021-03-31,in support of the design and initial implementation of an integrated electrification approach in Uganda,Power and Climate,Unknown,"1012 Torney Ave, Tides Coworking c/o Power for All, San Francisco, CA 94129, United States of America"
2019,1000000.0,2019-11-01,2023-03-31,for use by its Smart Power Myanmar project in support of an effort to ensure that quality data is available and used for planning to accelerate effective on-grid and off-grid electrification in Myanmar,Power and Climate,Unknown,
Sustainable Energy for All 2019,500000.0,2019-11-01,2022-08-31,"in support of accelerating the development of Integrated Electrification Pathways in sub-Saharan Africa to ensure universal access to affordable, reliable energy services, and its 2020 Forum to be held in Kigali, Rwanda, May 2020",Power and Climate,Unknown,"Andromeda Tower 15th Floor, Donau City Strasse 6, Vienna,  1220, Austria"
2019,50000.0,2019-11-01,2020-10-31,"in general support of its mission to protect refugees and empower them with hope and opportunities, including the formation of a Rohingya Action Network",Strategic Opportunities Fund,Unknown,
Spelman College 2019,500000.0,2019-11-01,2025-06-30,"in support of a program to advance talented Spelman faculty by investing in their professional development, seeding their research and reducing demands on their time",Strategic Opportunities Fund,Unknown,"530 Spelman Lane, S.W. Box 1551, Atlanta, GA 30314, United States of America"
"Shining Hope for Communities, Inc. 2019",150000.0,2019-11-01,2022-01-01,"toward the costs of the inaugural World Poverty Forum, to be held in Kibera, Kenya, January 2020",Africa Regional Office,Unknown,"175 Varick Street, 5th Floor, New York, NY 10014, United States of America"
Solid Ground Washington 2019,500000.0,2019-11-01,2021-10-31,"toward the costs of its Community Voices for Washington's Working Families Tax Credit campaign, an effort to help low-income workers by funding and expanding Washington's version of the Earned Income Tax Credit",U.S. Economic Opportunity,Unknown,"1501 N 45th Street, Seattle, WA 98103, United States of America"
"Imperial College of Science, Technology and Medicine 2019",785530.0,2019-11-01,2023-01-01,"for use by The Conway Centre in support of research to examine the interactions of specific, under-researched food compounds on human and livestock health",Food Initiative,Unknown,"Sherfield Building, South Kensington, London,  SW7 2AZ, England"
Urban School Food Alliance 2019,525000.0,2019-11-01,2021-12-31,toward the costs of applying data-driven reform to the school food system in order to improve the affordability and availability of healthy and sustainable food in schools,Food Initiative,Unknown,"1612 K st NW, C/O Romano & Associates CPAs PC, suite 200, Washington, DC 20006, United States of America"
Results for Development 2019,250056.0,2019-11-01,2020-09-30,"in support of efforts to create an accessible, online registry of Civil Society Organizations in Africa in order to facilitate the strengthening of the sector ",Strategic Opportunities Fund,Unknown,"1111 19th Street, NW, Suite 700, Washington, DC 20036, United States of America"
2019,150000.0,2019-11-01,2021-02-28,in general support of its mission to serve as a center of excellence for survivors of sexual violence and delivering mothers in the Democratic Republic of the Congo,Strategic Opportunities Fund,Unknown,
2019,500000.0,2019-11-01,2021-10-01,in support of its Global Alliance for Mass Entrepreneurship (GAME) to catalyze entrepreneurship in India in order to achieve greater levels of employment,Strategic Opportunities Fund,Unknown,
2019,2000000.0,2019-11-01,2022-12-31,"in support of its Closing the Gaps Accelerator project, a community of practice for 30 cities to address systemic inequities and close income and wealth gaps, and in general support of its mission to advance opportunity and prosperity in U.S. cities and their low-income populations",U.S. Economic Opportunity,Unknown,
"ImpactAssets, Inc. 2019",831126.0,2019-11-01,2020-10-31,"in support of evaluating marketing and distribution strategies for up to four impact investment products, as well as supporting investments in small- and medium-enterprise fund managers utilizing self-liquidating and revenue-based repayment models, all in an effort to test ways of addressing access to capital for underserved populations in the U.S.",Innovative Finance,Unknown,"4340 East West Highway Suite 210, Bethesda, MD 20814, United States of America"
Malaria No More 2019,490719.0,2019-11-01,2020-12-31,"toward the costs of the design and launch of a ""demonstration deal"" to channel large amounts of private capital towards achieving the health Sustainable Development Goals, including a convening  to be held at The Rockefeller Foundation Bellagio Center, Italy, in 2020",Health Initiative,Unknown,"2341 Eastlake Ave E, Suite 200, Seattle, WA 98102, United States of America"
Boston University 2019,2500000.0,2019-11-01,2024-10-31,"for use by its School of Public Health for research, the development of a website and a commission report on health determinants, data and decision-making, designed to increase the use of data-driven insights to improve the health of vulnerable people",Health Initiative,Unknown,"881 Commonwealth Avenue, Boston, MA 02215, United States of America"
Medic Mobile 2019,2999759.0,2019-11-01,2023-10-31,"in support of the development of Medic Research, an innovation lab focused on big ideas to support the potential of precision public health to benefit vulnerable communities",Health Initiative,Unknown,"3254 19th Street, Floor Two, San Francisco, CA 94110, United States of America"
Reinvestment Partners 2019,300350.0,2019-11-01,2021-01-31,toward the costs of expanding their produce prescription program for Medicaid recipients in North Carolina,Food Initiative,Unknown,"110 E Geer St, Durham, NC 27701, United States of America"
DC Greens 2019,309227.0,2019-11-01,2022-05-31,"in support of expanding a program in Washington, DC that increases access to healthy foods for patients with diet-related diseases, robustly evaluating that program and developing a national community of practice",Food Initiative,Unknown,"2000 P Street NW, Suite 240, Washington DC,  20036, United States of America"
FoodCorps 2019,1000000.0,2019-11-01,2021-12-31,"toward the costs of ""reWorking Lunch,"" to design and implement solutions that make healthier, more sustainable food readily accessible for schools and students nationwide",Food Initiative,Unknown,"1140 SE 7th Ave, Portland, OR 97214, United States of America"
New Venture Fund 2019,800000.0,2019-11-01,2021-03-31,for use by its project Data.org/Data Science for Social Impact Alliance toward the costs of building the field of data science for social impact.,Data Science,Unknown,"1828 L Street NW, Suite 300A, Washington, DC 20036, United States of America"
Code for America 2019,750000.0,2019-11-01,2020-07-31,toward the costs of the piloting phase of a data-driven initiative aimed at increasing participation rates in the Earned Income Tax Credit in partnership with the IRS Volunteer Income Tax Assistance (VITA) program,New Frontiers,Unknown,"972 Mission Street, 5th Floor, San Francisco, CA 94103, United States of America"
Community Solutions 2019,100000.0,2019-11-01,2021-12-31,to support expanding the use of data-driven approaches to reducing homelessness in cities in the U.S.,Data Science,Unknown,"P.O. Box 3524, Church Street Station, New York, NY 10008, United States of America"
African Venture Philanthropy Alliance Limited 2019,200000.0,2019-11-01,2020-10-31,"toward the costs of establishing a pan-African membership network which will serve to significantly increase the flow of effectively applied financial, human and intellectual capital towards poor and vulnerable communities in Africa",Africa Regional Office,Unknown,"PO Box 764, Sarit Centre, Nairobi,  00606, Kenya"
United Nations Development Programme 2019,200000.0,2019-11-01,2024-02-01,for use by its United Nations Resident Coordinator's Office to support the Sustainable Development Goals (SDGs) Platform’s Food and Nutrition Security window in order to ensure that all Kenyans receive food in sufficient quantity and quality to satisfy their nutritional needs for optimal health,Africa Regional Office,Unknown,"One United Nations Plaza, New York, NY 10017, United States of America"
United Nations Foundation 2019,100000.0,2019-10-01,2020-09-30,to hold a Bellagio convening aimed at shaping a global data governance agenda and conduct related research,New Frontiers,Unknown,"1750 Pennsylvania Avenue, NW, Suite 300, Washington, DC 20006, United States of America"
Rockefeller Philanthropy Advisors 2019,4700000.0,2019-10-01,2020-09-30,for use by its Global Resilient Cities Network toward the costs of establishing an independent organization to sustain the 100 Resilient Cities Network,Power and Climate,Unknown,"6 West 48th Street, 10th Floor, New York, NY 10036, United States of America"
New Venture Fund 2019,750000.0,2019-10-01,2022-12-31,"for use by its U.S. Impact Investing Alliance toward the costs of the Tipping Point Fund, a donor collaborative to fund field building infrastructure that will support the growth and practice of impact investing",Innovative Finance,Unknown,"1828 L Street NW, Suite 300A, Washington, DC 20036, United States of America"
"San Diego Workforce Partnership, Inc. 2019",541496.0,2019-10-01,2021-05-31,in support of researching the feasibility and potential impact of restructuring defaulted consumer debt to an income-contingent structure in an effort to build financial resilience for poor and vulnerable populations in the U.S,Innovative Finance,Unknown,"9246 Lightwave Avenue, Suite 210, San Diego, CA 92123, United States of America"
PATH 2019,300000.0,2019-10-01,2021-12-31,"for use by its Digital Square program in support of a  feasibility study catalyzing a Health Data Science Exchange to improve the reach, quality and efficiency of health service delivery to people in low-and-middle-income countries",Health Initiative,Unknown,"2201 Westlake Ave, Suite 200, Seattle, WA 98121, United States of America"
Asia Society 2019,250000.0,2019-10-01,2022-03-31,"for use by its Asia Society Policy Institute in support of fostering relationships with Chinese leaders, philanthropists and innovators to help shape the future of Chinese venture philanthropy",Asia Regional Office,Unknown,"725 Park Avenue, New York, NY 10021-5088, United States of America"
Asia Foundation 2019,300000.0,2019-10-01,2023-12-31,"in support of a project on ""Achieving Sustainable Development in Southeast Asia through Greater Engagement with China’s Development Actors""",Asia Regional Office,Unknown,"465 California Street, 9th Floor, San Francisco, CA 94104, United States of America"
Asian Venture Philanthropy Network Limited 2019,250000.0,2019-10-01,2022-01-01,in support of a project to capacitate public sector agents of change to effectively mobilize private sector capital to advance policy initiatives in India,Asia Regional Office,Unknown,"171 Tras Street, #10-179 Union Building, Singapore,  068805, Singapore"
Meridian Institute 2019,481083.0,2019-09-01,2021-02-28,"toward the costs of creating the Food Periodic Table Global Consortium, an effort to spur scientific advancements in understanding the biochemical elements of diet that contribute to health and wellbeing",Food Initiative,Unknown,"PO Box 1829, 105 Village Place, Dillon, CO 80435, United States of America"
"All On Partnerships for Energy Access, Limited by Guarantee 2019",3484240.0,2019-09-01,2026-03-31,"in support of establishing the All On Hub, a support facility for energy entrepreneurs that will build the capabilities of mini-grid and off-grid entrepreneurs in the Nigerian energy sector",Power and Climate,Unknown,"44 Bourdillon Road, Ikoyi, Lagos,, Nigeria"
World Bank 2019,1400000.0,2019-09-01,2023-12-31,for use by its Energy Sector Management Assistance Program (ESMAP) toward the costs of establishing a targeted program for stimulating electricity demand in order to accelerate energy access in up to four African countries,Power and Climate,Unknown,"1818 H Street, NW, Washington, DC 20433, United States of America"
Local Initiatives Support Corporation 2019,400000.0,2019-09-01,2021-12-31,"in support of enhancing Washington D.C.'s capacity to leverage the Opportunity Zones tax incentive to attract private investments into distressed communities<br />
<br />
",U.S. Economic Opportunity,Unknown,"501 Seventh Avenue, 7th Floor, New York, NY 10018, United States of America"
2019,250000.0,2019-09-01,2022-02-28,in support of designing a structure for securitization of affordable home mortgages,Innovative Finance,Unknown,
Smart Growth America 2019,400000.0,2019-08-01,2022-07-31,in support of establishing and managing the National Opportunity Zone Academy to support Chief Opportunity Zone officers throughout the U.S. in an effort to ensure that communities have the tools and knowledge necessary to promote resilient and equitable development,U.S. Economic Opportunity,Unknown,"1152 15th Street NW, Suite 450, Washington, DC 20005, United States of America"
Rockefeller Philanthropy Advisors 2019,1000000.0,2019-08-01,2021-08-31,for use by its MDG Health Alliance in support of working with governments to strengthen and scale community-health programs,Health Initiative,Unknown,"6 West 48th Street, 10th Floor, New York, NY 10036, United States of America"
Tufts University 2019,351362.0,2019-08-01,2021-02-28,"for use by its Gerald J. and Dorothy R. Friedman School of Nutrition Science and Policy in support of landscaping current funding for nutrition research, and gathering evidence on the need for a larger, coordinated effort to advance nutrition science in the U. S.",Food Initiative,Unknown,"Research Administration, 136 Harrison Avenue, Boston, MA 02111-1817, United States of America"
"The Intrinsic Exchange Group, Inc. 2019",750000.0,2019-08-01,2020-12-31,"toward the costs of researching and developing the Intrinsic Value Exchange, a model for public ownership of natural capital ecosystem services",Innovative Finance,Unknown,"548 Market Street, Suite 19660, San Francisco, CA 94104, United States of America"
King&#8217;s College London 2019,50000.0,2019-08-01,2020-09-30,for use by its Department of International Development in support of a special series of The Lancet entitled “Political Science in Global Health Policy-Making”. ,Health Initiative,Unknown,"James Clerk Maxwell Building, 57 Waterloo Road, London,  SE1 8WA, England"
United Nations Economic Commission for Africa 2019,100000.0,2019-08-01,2022-01-01,in support of implementing the African Women's Leadership Fund,Africa Regional Office,Unknown,"PO Box 3001, Menelik II Avenue, Niger Bldg, 9th floor, Addis Ababa,  3002, Ethiopia"
Genesis Analytics 2019,149624.0,2019-08-01,2020-05-31,in support of developing a toolkit to share the learnings of The Rockefeller Foundation's YieldWise Initiative to the relevant actors in the food loss and waste sector,Food Initiative,Unknown,"Office 3, 50 6th Road, Hyde Park, Johannesburg,  2196, South Africa"
Meridian Institute 2019,400000.0,2019-07-01,2021-01-01,"in support of a convening to advance integrated electrification in order to help end energy poverty to be held at The Rockefeller Foundation Bellagio Center, Italy, December 2019",Power and Climate,Unknown,"PO Box 1829, 105 Village Place, Dillon, CO 80435, United States of America"
2019,400000.0,2019-07-01,2022-06-30,in support of enhancing Atlanta’s capacity to leverage the Opportunity Zones tax incentive to attract private investments into distressed communities,U.S. Economic Opportunity,Unknown,
Total Impact Capital 2019,395847.0,2019-07-01,2027-06-30,"in support of designing and launching an asset-backed financing platform to facilitate the financing of small- and medium-sized enterprises in the pharmaceutical sector in Kenya in an effort to enhance access to medications <br />
<br />
",Innovative Finance,Unknown,"4800 Montgomery Lane, Suite 630, Bethesda, MD 20814, United States of America"
World Economic Forum 2019,250000.0,2019-07-01,2020-06-30,in support of bringing innovative solutions to today’s most pressing global challenges through the Shaping the Future of Energy and Materials and Shaping the Future of Global Public Goods initiatives,Strategic Opportunities Fund,Unknown,"91-93 Route de la Capite, Cologny, Geneva,  CH-1223, Switzerland"
Johns Hopkins University 2019,600000.0,2019-07-01,2021-08-31,"in support of the Guiding Opportunity (GO) AmeriCorps VISTA program, an effort to help city leaders in the U.S. achieve positive economic and social outcomes through community-informed Opportunity Zone investments",U.S. Economic Opportunity,Unknown,"3400 N. Charles Street, Baltimore, MD 21218, United States of America"
St. Louis Development Corporation 2019,400000.0,2019-07-01,2021-10-31,in support of enhancing St. Louis's capacity to leverage the Opportunity Zones tax incentive to attract private investments into distressed communities,U.S. Economic Opportunity,Unknown,"1520 Market Street, Suite 2000, St. Louis, MO 63103, United States of America"
New Venture Fund 2019,400000.0,2019-07-01,2021-10-31,for use by its Oakland Fund for Public Innovation toward the costs of enhancing Oakland’s capacity to leverage the Opportunity Zones tax incentive to attract private investments into distressed communities,U.S. Economic Opportunity,Unknown,"1828 L Street NW, Suite 300A, Washington, DC 20036, United States of America"
"Speak Up Africa, Inc 2019",300000.0,2019-07-01,2020-06-30,in support of its One by One Campaign to catalyze leadership in Africa to utilize data driven decision making in community health to advance the Universal Health Coverage agenda,Health Initiative,Unknown,"215 Park Ave South, 11th Floor, New York, NY 10003, United States of America"
Rockefeller Philanthropy Advisors 2019,12000000.0,2019-07-01,2022-01-31,for use by 100 Resilient Cities toward the costs of winding down its operations,100 Resilient Cities,Unknown,"6 West 48th Street, 10th Floor, New York, NY 10036, United States of America"
2019,100000.0,2019-06-01,2020-06-30,in general support of its mission to solve large-scale health problems affecting vulnerable populations around the world and to build sustainable systems that protect and promote health,Health Initiative,Unknown,
OASIS Open 2019,400000.0,2019-06-01,2021-02-28,"for use by its Open Mobility Foundation, in support of providing cities with open source software and data standards that will enable safe, equitable governance of public needs",New Frontiers,Unknown,"35 Corporate Drive, Suite 150, Burlington, MA 01803, United States of America"
CrossBoundary LLC 2019,798941.0,2019-06-01,2020-06-30,in support of developing an innovation lab to assess the viability of mini-grid models to support energy service companies to accelerate energy access for poor and vulnerable people in rural areas in Africa,Power Initiative,Unknown,"1627 I Street NW, Suite 810, Washington, DC 20006, United States of America"
The Aspen Institute 2019,350000.0,2019-06-01,2020-12-31,for use by its Congressional Program toward the costs of a nonpartisan project to educate legislators on key public policy issues,Policy,Unknown,"2300 N Street, NW, #700, Washington, DC 20037-1122, United States of America"
